vax_product,count_total,count_before20200101,count_onorafter20200101,count_onorafter20201201,earliest_date_onorafter20201201,count_on_earliest_date
1x ,90,80,10,0,2021-03-05,1
1x ++1JJ2,0,0,0,0,Inf,0
1x ++VUMp.8aYYTHT,0,0,0,0,Inf,0
1x +2MR0Mz7+W,0,0,0,0,Inf,0
1x +6ep5F_C+KjFWO,0,0,0,0,Inf,0
1x +B_CTx4Inl.i_3l,0,0,0,0,Inf,0
1x +JFj5qB,0,0,0,0,Inf,0
1x +NR,0,0,0,0,Inf,0
1x +Wl,0,0,0,0,Inf,0
1x +ZJ3Z7o,0,0,0,0,Inf,0
1x +d6Yup,0,0,0,0,Inf,0
1x +fZ.V1Mvi,0,0,0,0,Inf,0
1x +m7LcVpWq,0,0,0,0,Inf,0
1x +mZAO9ecQ3VW_nz,0,0,0,0,Inf,0
1x +nn6,0,0,0,0,Inf,0
1x +s,0,0,0,0,Inf,0
1x -,0,0,0,0,Inf,0
1x --uUrx+3MU.JhV,0,0,0,0,Inf,0
1x -0L.0JT,0,0,0,0,Inf,0
1x -5V,0,0,0,0,2021-06-14,1
1x -8_lrL,0,0,0,0,Inf,0
1x -AKmsK,0,0,0,0,Inf,0
1x -AmfgSXJlJujQ,0,0,0,0,2021-10-21,1
1x -HYP+0s5J+,0,0,0,0,Inf,0
1x -J5L7HHDrB,0,0,0,0,Inf,0
1x -MIPW,0,0,0,0,Inf,0
1x -MzdumdI,0,0,0,0,Inf,0
1x -OvDSz19uVwq8V,0,0,0,0,Inf,0
1x -Pbl8.Tmp6t9n,0,0,0,0,Inf,0
1x -fTq.kwovudrZ43,0,0,0,0,Inf,0
1x -gTscN51w,0,0,0,0,2022-10-10,1
1x -iQzgym9a8GH,0,0,0,0,Inf,0
1x -iRMo7MD,0,0,0,0,Inf,0
1x -kw5yir_9,0,0,0,0,2021-04-26,1
1x -phg,0,0,0,0,Inf,0
1x -tH6cgA5G23h9,0,0,0,0,Inf,0
1x -tnpezvPnIlQ2x,0,0,0,0,Inf,0
1x .,0,0,0,0,Inf,0
1x .6,0,0,0,0,Inf,0
1x .6dV,0,0,0,0,Inf,0
1x .7oJtNyXKPzm,0,0,0,0,Inf,0
1x .DdpvOs7LXl,0,0,0,0,Inf,0
1x .H,0,0,0,0,Inf,0
1x .MR,0,0,0,0,Inf,0
1x .RhKiRceS,0,0,0,0,Inf,0
1x .W9Xjmk0jDcxS16,0,0,0,0,Inf,0
1x .ZqY9N,0,0,0,0,Inf,0
1x .cace+NUcHz,0,0,0,0,Inf,0
1x .jT.raC,0,0,0,0,Inf,0
1x .rtIAY1kY1Uqb,0,0,0,0,Inf,0
1x 0,0,0,0,0,Inf,0
1x 0++,0,0,0,0,Inf,0
1x 0+w,0,0,0,0,Inf,0
1x 0.CscQ,0,0,0,0,Inf,0
1x 00W.,0,0,0,0,Inf,0
1x 02iWzvbyGH,0,0,0,0,Inf,0
1x 03MOQuIooE0HH,0,0,0,0,Inf,0
1x 05exd6W9d00,0,0,0,0,Inf,0
1x 08-gX2Cvm6Y5QF,0,0,0,0,Inf,0
1x 09Q7bw+OUI,0,0,0,0,Inf,0
1x 0BdoTzGhD,0,0,0,0,Inf,0
1x 0C7fSf,0,0,0,0,Inf,0
1x 0C8J,0,0,0,0,Inf,0
1x 0FOL,0,0,0,0,Inf,0
1x 0GOkQiGXM,0,0,0,0,Inf,0
1x 0HD3MEyATkLgom,0,0,0,0,Inf,0
1x 0KnbulZ-,0,0,0,0,Inf,0
1x 0RXqp1E0kUwAk5h,0,0,0,0,2023-10-21,1
1x 0VJrJnRcM+MVm,0,0,0,0,Inf,0
1x 0e,0,0,0,0,2025-10-19,1
1x 0jG5u.j7s76P1WU,0,0,0,0,2024-07-17,1
1x 0jqtiIIAK,0,0,0,0,Inf,0
1x 0qe1,0,0,0,0,Inf,0
1x 1.4ZG2gRfr,0,0,0,0,Inf,0
1x 1.njaZso,0,0,0,0,Inf,0
1x 1Ah3vfZHWXJJO,0,0,0,0,Inf,0
1x 1F3Nnlki-7.LFn,0,0,0,0,Inf,0
1x 1F5cFQM3xe1es,0,0,0,0,2025-12-24,1
1x 1II0GDSL2-,0,0,0,0,Inf,0
1x 1KVL+8oL,0,0,0,0,Inf,0
1x 1Lr7OMLT9,0,0,0,0,2025-08-06,1
1x 1Ms,0,0,0,0,Inf,0
1x 1PVr6Q98.aPMwh,0,0,0,0,2024-12-10,1
1x 1S,0,0,0,0,Inf,0
1x 1a,0,0,0,0,Inf,0
1x 1fCc0D,0,0,0,0,Inf,0
1x 1wNY17wyjUKuSYq,0,0,0,0,Inf,0
1x 2+,0,0,0,0,Inf,0
1x 2B7TWJAMSC0Y,0,0,0,0,Inf,0
1x 2BhtPer,0,0,0,0,Inf,0
1x 2HuO5pJSH9m3,0,0,0,0,Inf,0
1x 2Q,0,0,0,0,Inf,0
1x 2X3,0,0,0,0,Inf,0
1x 2bhrp2x4xfei40E,0,0,0,0,Inf,0
1x 2eLa.qTd,0,0,0,0,Inf,0
1x 2jGVTpW,0,0,0,0,Inf,0
1x 2mgHUfaKz52iuT.,0,0,0,0,Inf,0
1x 2qtI7N,0,0,0,0,Inf,0
1x 2sLoEb1j6B3h49b,0,0,0,0,Inf,0
1x 2wJ,0,0,0,0,Inf,0
1x 3,0,0,0,0,Inf,0
1x 3-Q00WCTD51y..2,0,0,0,0,Inf,0
1x 3.YxsC_6mZdg,0,0,0,0,Inf,0
1x 30zshcyAgXgz,0,0,0,0,Inf,0
1x 36BwE0,0,0,0,0,Inf,0
1x 3Bdi2UAQq8Jr,0,0,0,0,Inf,0
1x 3EJ9bll4qP2,0,0,0,0,Inf,0
1x 3GzG3PlXdis9yIt,0,0,0,0,Inf,0
1x 3IWG_,0,0,0,0,Inf,0
1x 3LGTNjoPWj,0,0,0,0,Inf,0
1x 3LQc.yTBiUFa,0,0,0,0,Inf,0
1x 3MAelFViW,0,0,0,0,Inf,0
1x 3MHAiuBh,0,0,0,0,Inf,0
1x 3Tvx2b,0,0,0,0,Inf,0
1x 3V79SrgfO22,0,0,0,0,Inf,0
1x 3Y,0,0,0,0,Inf,0
1x 3cnArTtcO,0,0,0,0,Inf,0
1x 3dxv,0,0,0,0,Inf,0
1x 3lqT-bd1mlSgxH5,0,0,0,0,Inf,0
1x 3nOemUkk.qcW,0,0,0,0,Inf,0
1x 3oe1i,0,0,0,0,Inf,0
1x 3pAP2,0,0,0,0,Inf,0
1x 3q,0,0,0,0,2025-03-14,1
1x 3qf,0,0,0,0,Inf,0
1x 3tqfbY,0,0,0,0,2021-04-10,1
1x 3xMgdt,0,0,0,0,Inf,0
1x 3yeDD,0,0,0,0,Inf,0
1x 4,0,0,0,0,Inf,0
1x 4-qz5LZ,0,0,0,0,2022-01-09,1
1x 40crCCHk5d0cIc,0,0,0,0,Inf,0
1x 41waXThSJt95LP,0,0,0,0,Inf,0
1x 42wT9+CL,0,0,0,0,Inf,0
1x 436kQkLDq3X,0,0,0,0,Inf,0
1x 4As_BjmHBlxh7Z,0,0,0,0,2023-01-20,1
1x 4C,0,0,0,0,Inf,0
1x 4GPrcr,0,0,0,0,Inf,0
1x 4Mh6d6z+_,0,0,0,0,Inf,0
1x 4PC-s,0,0,0,0,Inf,0
1x 4Un6mE,0,0,0,0,Inf,0
1x 4_6j+d-ddGDlYr+,0,0,0,0,Inf,0
1x 4_EVpoVrYZUn,0,0,0,0,Inf,0
1x 4f,0,0,0,0,Inf,0
1x 4j-jvQ,0,0,0,0,Inf,0
1x 4jbFxXuaI2mQ,0,0,0,0,Inf,0
1x 4k3l+jzA,0,0,0,0,Inf,0
1x 4kz,0,0,0,0,Inf,0
1x 4mOGwmcXpf-zk_L,0,0,0,0,Inf,0
1x 4md,0,0,0,0,Inf,0
1x 4onhXLygmi22,0,0,0,0,Inf,0
1x 4x,0,0,0,0,Inf,0
1x 50oKDXbY5+wd,0,0,0,0,Inf,0
1x 51u9zxt_wU,0,0,0,0,Inf,0
1x 52flV,0,0,0,0,Inf,0
1x 5KbuyDhesmSo,0,0,0,0,Inf,0
1x 5Kighg+cBfsH5b,0,0,0,0,Inf,0
1x 5OlgvvKst5uE,0,0,0,0,Inf,0
1x 5VA9j.VDNLEr,0,0,0,0,Inf,0
1x 5a4v7p,0,0,0,0,Inf,0
1x 5dUd69k,0,0,0,0,Inf,0
