group1,group1_value,group2,group2_value,time,cmlinc,cmlinc.low,cmlinc.high,early_milestone,primary_milestone,final_milestone
age_above_eligiblity_threshold,FALSE,all,All,7,0.03125,0.0234375,0.0390625,0,0,0
age_above_eligiblity_threshold,FALSE,all,All,14,0.0546875,0.046875,0.0703125,0,0,0
age_above_eligiblity_threshold,FALSE,all,All,21,0.0859375,0.0703125,0.1015625,0,0,0
age_above_eligiblity_threshold,FALSE,all,All,28,0.1171875,0.1015625,0.1328125,0,0,0
age_above_eligiblity_threshold,FALSE,all,All,35,0.1484375,0.1328125,0.171875,0,0,0
age_above_eligiblity_threshold,FALSE,all,All,42,0.1796875,0.15625,0.203125,0,0,0
age_above_eligiblity_threshold,FALSE,all,All,49,0.2109375,0.1875,0.234375,0,0,0
age_above_eligiblity_threshold,FALSE,all,All,56,0.2265625,0.203125,0.25,0,1,0
age_above_eligiblity_threshold,FALSE,all,All,63,0.2578125,0.234375,0.28125,0,0,0
age_above_eligiblity_threshold,FALSE,all,All,70,0.28125,0.2578125,0.3125,0,0,0
age_above_eligiblity_threshold,FALSE,all,All,77,0.3046875,0.28125,0.328125,0,0,0
age_above_eligiblity_threshold,FALSE,all,All,84,0.328125,0.3046875,0.359375,0,0,0
age_above_eligiblity_threshold,FALSE,all,All,91,0.359375,0.3359375,0.390625,0,0,0
age_above_eligiblity_threshold,FALSE,all,All,98,0.3828125,0.359375,0.4140625,0,0,0
age_above_eligiblity_threshold,FALSE,all,All,105,0.4140625,0.3828125,0.4375,0,0,0
age_above_eligiblity_threshold,FALSE,all,All,112,0.4375,0.4140625,0.46875,0,0,0
age_above_eligiblity_threshold,FALSE,all,All,119,0.46875,0.4375,0.4921875,0,0,0
age_above_eligiblity_threshold,FALSE,all,All,126,0.5,0.46875,0.53125,0,0,0
age_above_eligiblity_threshold,FALSE,all,All,133,0.53125,0.5,0.5546875,0,0,0
age_above_eligiblity_threshold,FALSE,all,All,140,0.5625,0.53125,0.5859375,0,0,0
age_above_eligiblity_threshold,FALSE,all,All,147,0.5859375,0.5546875,0.609375,0,0,0
age_above_eligiblity_threshold,FALSE,all,All,154,0.609375,0.5859375,0.6328125,0,0,0
age_above_eligiblity_threshold,FALSE,all,All,161,0.640625,0.6171875,0.6640625,0,0,0
age_above_eligiblity_threshold,FALSE,all,All,168,0.6640625,0.6328125,0.6875,0,0,0
age_above_eligiblity_threshold,FALSE,all,All,175,0.6953125,0.6640625,0.71875,0,0,0
age_above_eligiblity_threshold,FALSE,all,All,182,0.7265625,0.6953125,0.75,0,0,1
age_above_eligiblity_threshold,TRUE,all,All,7,0.030054644808743203,0.024590163934426257,0.03551912568306015,0,0,0
age_above_eligiblity_threshold,TRUE,all,All,14,0.060109289617486295,0.051912568306010876,0.06830601092896171,0,0,0
age_above_eligiblity_threshold,TRUE,all,All,21,0.08469945355191255,0.07650273224043713,0.09562841530054644,0,0,0
age_above_eligiblity_threshold,TRUE,all,All,28,0.10655737704918034,0.09836065573770492,0.11748633879781423,0,0,0
age_above_eligiblity_threshold,TRUE,all,All,35,0.13387978142076506,0.12295081967213117,0.14480874316939896,0,0,0
age_above_eligiblity_threshold,TRUE,all,All,42,0.16120218579234968,0.1502732240437159,0.17213114754098358,0,0,0
age_above_eligiblity_threshold,TRUE,all,All,49,0.18579234972677594,0.17213114754098358,0.1994535519125683,0,0,0
age_above_eligiblity_threshold,TRUE,all,All,56,0.21584699453551914,0.20218579234972678,0.2295081967213115,0,1,0
age_above_eligiblity_threshold,TRUE,all,All,63,0.24316939890710387,0.2295081967213115,0.2568306010928961,0,0,0
age_above_eligiblity_threshold,TRUE,all,All,70,0.2786885245901639,0.2622950819672131,0.2923497267759563,0,0,0
age_above_eligiblity_threshold,TRUE,all,All,77,0.3005464480874317,0.28688524590163933,0.31693989071038253,0,0,0
age_above_eligiblity_threshold,TRUE,all,All,84,0.3278688524590164,0.3114754098360656,0.34426229508196726,0,0,0
age_above_eligiblity_threshold,TRUE,all,All,91,0.3579234972677595,0.34426229508196726,0.37431693989071035,0,0,0
age_above_eligiblity_threshold,TRUE,all,All,98,0.3879781420765027,0.3715846994535519,0.40437158469945356,0,0,0
age_above_eligiblity_threshold,TRUE,all,All,105,0.41530054644808745,0.4016393442622951,0.4316939890710383,0,0,0
age_above_eligiblity_threshold,TRUE,all,All,112,0.4426229508196722,0.42622950819672134,0.4590163934426229,0,0,0
age_above_eligiblity_threshold,TRUE,all,All,119,0.47267759562841527,0.45628415300546443,0.4890710382513661,0,0,0
age_above_eligiblity_threshold,TRUE,all,All,126,0.49453551912568305,0.4808743169398907,0.5109289617486339,0,0,0
age_above_eligiblity_threshold,TRUE,all,All,133,0.5218579234972678,0.505464480874317,0.5382513661202186,0,0,0
age_above_eligiblity_threshold,TRUE,all,All,140,0.5491803278688525,0.5327868852459017,0.5655737704918034,0,0,0
age_above_eligiblity_threshold,TRUE,all,All,147,0.5765027322404371,0.5601092896174864,0.5901639344262295,0,0,0
age_above_eligiblity_threshold,TRUE,all,All,154,0.6010928961748634,0.5846994535519126,0.6174863387978142,0,0,0
age_above_eligiblity_threshold,TRUE,all,All,161,0.6311475409836065,0.6147540983606558,0.6475409836065573,0,0,0
age_above_eligiblity_threshold,TRUE,all,All,168,0.6557377049180328,0.639344262295082,0.6693989071038251,0,0,0
age_above_eligiblity_threshold,TRUE,all,All,175,0.6857923497267759,0.6693989071038251,0.6994535519125683,0,0,0
age_above_eligiblity_threshold,TRUE,all,All,182,0.7158469945355191,0.7021857923497268,0.7295081967213115,0,0,1
age_above_eligiblity_threshold,FALSE,sex,Female,7,0.02898550724637683,0.02898550724637683,0.05797101449275366,0,0,0
age_above_eligiblity_threshold,FALSE,sex,Female,14,0.05797101449275366,0.04347826086956519,0.07246376811594202,0,0,0
age_above_eligiblity_threshold,FALSE,sex,Female,21,0.08695652173913038,0.05797101449275366,0.10144927536231885,0,0,0
age_above_eligiblity_threshold,FALSE,sex,Female,28,0.1159420289855072,0.08695652173913038,0.14492753623188404,0,0,0
age_above_eligiblity_threshold,FALSE,sex,Female,35,0.14492753623188404,0.1159420289855072,0.17391304347826086,0,0,0
age_above_eligiblity_threshold,FALSE,sex,Female,42,0.17391304347826086,0.1594202898550725,0.21739130434782605,0,0,0
age_above_eligiblity_threshold,FALSE,sex,Female,49,0.21739130434782605,0.18840579710144922,0.24637681159420288,0,0,0
age_above_eligiblity_threshold,FALSE,sex,Female,56,0.23188405797101452,0.2028985507246377,0.26086956521739124,0,1,0
age_above_eligiblity_threshold,FALSE,sex,Female,63,0.2753623188405797,0.23188405797101452,0.30434782608695654,0,0,0
age_above_eligiblity_threshold,FALSE,sex,Female,70,0.28985507246376807,0.24637681159420288,0.3188405797101449,0,0,0
age_above_eligiblity_threshold,FALSE,sex,Female,77,0.30434782608695654,0.2753623188405797,0.33333333333333337,0,0,0
age_above_eligiblity_threshold,FALSE,sex,Female,84,0.3188405797101449,0.28985507246376807,0.3623188405797101,0,0,0
age_above_eligiblity_threshold,FALSE,sex,Female,91,0.34782608695652173,0.3188405797101449,0.37681159420289856,0,0,0
age_above_eligiblity_threshold,FALSE,sex,Female,98,0.37681159420289856,0.33333333333333337,0.4057971014492754,0,0,0
age_above_eligiblity_threshold,FALSE,sex,Female,105,0.3913043478260869,0.3623188405797101,0.4347826086956522,0,0,0
age_above_eligiblity_threshold,FALSE,sex,Female,112,0.4347826086956522,0.4057971014492754,0.4782608695652174,0,0,0
age_above_eligiblity_threshold,FALSE,sex,Female,119,0.46376811594202894,0.4347826086956522,0.5072463768115942,0,0,0
age_above_eligiblity_threshold,FALSE,sex,Female,126,0.49275362318840576,0.46376811594202894,0.536231884057971,0,0,0
age_above_eligiblity_threshold,FALSE,sex,Female,133,0.5217391304347826,0.4782608695652174,0.5652173913043479,0,0,0
age_above_eligiblity_threshold,FALSE,sex,Female,140,0.5507246376811594,0.5072463768115942,0.5942028985507246,0,0,0
age_above_eligiblity_threshold,FALSE,sex,Female,147,0.5652173913043479,0.5217391304347826,0.6086956521739131,0,0,0
age_above_eligiblity_threshold,FALSE,sex,Female,154,0.5942028985507246,0.5507246376811594,0.6231884057971014,0,0,0
age_above_eligiblity_threshold,FALSE,sex,Female,161,0.6231884057971014,0.5942028985507246,0.6666666666666667,0,0,0
