group1,group1_value,group2,group2_value,time,cmlinc,cmlinc.low,cmlinc.high,early_milestone,primary_milestone,final_milestone
any_eligibility,TRUE,all,All,7,0.030425963488843855,0.026369168356997985,0.034482758620689724,0,0,0
any_eligibility,TRUE,all,All,14,0.05882352941176472,0.05273833671399597,0.06490872210953347,0,0,0
any_eligibility,TRUE,all,All,21,0.0851926977687627,0.07707910750507097,0.09330628803245433,0,0,0
any_eligibility,TRUE,all,All,28,0.1095334685598377,0.10141987829614607,0.11764705882352944,0,0,0
any_eligibility,TRUE,all,All,35,0.13793103448275867,0.12981744421906694,0.14807302231237318,0,0,0
any_eligibility,TRUE,all,All,42,0.16430020283975666,0.15415821501014204,0.17647058823529416,0,0,0
any_eligibility,TRUE,all,All,49,0.19066937119675453,0.18052738336713992,0.20283975659229214,0,0,0
any_eligibility,TRUE,all,All,56,0.2190669371196755,0.2068965517241379,0.22920892494929013,0,1,0
any_eligibility,TRUE,all,All,63,0.24746450304259637,0.23529411764705888,0.25963488843813387,0,0,0
any_eligibility,TRUE,all,All,70,0.2799188640973631,0.2677484787018256,0.2920892494929006,0,0,0
any_eligibility,TRUE,all,All,77,0.3022312373225152,0.2900608519269777,0.3144016227180527,0,0,0
any_eligibility,TRUE,all,All,84,0.3286004056795132,0.3164300202839757,0.3427991886409736,0,0,0
any_eligibility,TRUE,all,All,91,0.35902636916835706,0.34685598377281945,0.37322515212981744,0,0,0
any_eligibility,TRUE,all,All,98,0.3874239350912779,0.37322515212981744,0.3995943204868154,0,0,0
any_eligibility,TRUE,all,All,105,0.4158215010141988,0.4016227180527383,0.4279918864097363,0,0,0
any_eligibility,TRUE,all,All,112,0.4421906693711968,0.4300202839756593,0.45638945233265726,0,0,0
any_eligibility,TRUE,all,All,119,0.47058823529411764,0.45638945233265726,0.48478701825557813,0,0,0
any_eligibility,TRUE,all,All,126,0.4969574036511156,0.48275862068965514,0.511156186612576,0,0,0
any_eligibility,TRUE,all,All,133,0.5233265720081136,0.5091277890466531,0.537525354969574,0,0,0
any_eligibility,TRUE,all,All,140,0.5517241379310345,0.537525354969574,0.565922920892495,0,0,0
any_eligibility,TRUE,all,All,147,0.5780933062880325,0.563894523326572,0.592292089249493,0,0,0
any_eligibility,TRUE,all,All,154,0.6044624746450304,0.59026369168357,0.6166328600405679,0,0,0
any_eligibility,TRUE,all,All,161,0.6328600405679513,0.6206896551724138,0.6470588235294118,0,0,0
any_eligibility,TRUE,all,All,168,0.6572008113590264,0.6430020283975659,0.6693711967545639,0,0,0
any_eligibility,TRUE,all,All,175,0.6876267748478702,0.6734279918864097,0.6997971602434077,0,0,0
any_eligibility,TRUE,all,All,182,0.718052738336714,0.7058823529411764,0.7302231237322515,0,0,1
any_eligibility,TRUE,sex,Female,7,0.0311284046692607,0.023346303501945553,0.03891050583657585,0,0,0
any_eligibility,TRUE,sex,Female,14,0.05836575875486383,0.05058365758754868,0.07003891050583655,0,0,0
any_eligibility,TRUE,sex,Female,21,0.08560311284046696,0.0778210116731517,0.09727626459143968,0,0,0
any_eligibility,TRUE,sex,Female,28,0.11673151750972766,0.10505836575875482,0.12840466926070038,0,0,0
any_eligibility,TRUE,sex,Female,35,0.14396887159533067,0.12840466926070038,0.1556420233463035,0,0,0
any_eligibility,TRUE,sex,Female,42,0.1712062256809338,0.15953307392996108,0.1867704280155642,0,0,0
any_eligibility,TRUE,sex,Female,49,0.2023346303501945,0.1867704280155642,0.2178988326848249,0,0,0
any_eligibility,TRUE,sex,Female,56,0.22957198443579763,0.21400778210116733,0.24513618677042803,0,1,0
any_eligibility,TRUE,sex,Female,63,0.25680933852140075,0.23735408560311289,0.27237354085603116,0,0,0
any_eligibility,TRUE,sex,Female,70,0.28793774319066145,0.2684824902723735,0.30350194552529186,0,0,0
any_eligibility,TRUE,sex,Female,77,0.30350194552529186,0.28793774319066145,0.32295719844357973,0,0,0
any_eligibility,TRUE,sex,Female,84,0.3268482490272373,0.30739299610894943,0.3463035019455253,0,0,0
any_eligibility,TRUE,sex,Female,91,0.357976653696498,0.33852140077821014,0.3735408560311284,0,0,0
any_eligibility,TRUE,sex,Female,98,0.38132295719844356,0.3618677042801557,0.40077821011673154,0,0,0
any_eligibility,TRUE,sex,Female,105,0.4085603112840467,0.3891050583657587,0.42801556420233466,0,0,0
any_eligibility,TRUE,sex,Female,112,0.4396887159533074,0.4202334630350194,0.45914396887159536,0,0,0
any_eligibility,TRUE,sex,Female,119,0.4669260700389105,0.44747081712062253,0.4863813229571985,0,0,0
any_eligibility,TRUE,sex,Female,126,0.49027237354085607,0.4708171206225681,0.5097276264591439,0,0,0
any_eligibility,TRUE,sex,Female,133,0.5136186770428015,0.49416342412451364,0.5330739299610895,0,0,0
any_eligibility,TRUE,sex,Female,140,0.5408560311284046,0.5214007782101167,0.5603112840466926,0,0,0
any_eligibility,TRUE,sex,Female,147,0.5642023346303502,0.5447470817120623,0.5836575875486381,0,0,0
any_eligibility,TRUE,sex,Female,154,0.5875486381322957,0.5680933852140078,0.6070038910505837,0,0,0
any_eligibility,TRUE,sex,Female,161,0.6186770428015564,0.5992217898832685,0.6381322957198443,0,0,0
any_eligibility,TRUE,sex,Female,168,0.6420233463035019,0.6264591439688716,0.6614785992217899,0,0,0
any_eligibility,TRUE,sex,Female,175,0.6770428015564203,0.6575875486381323,0.6926070038910506,0,0,0
any_eligibility,TRUE,sex,Female,182,0.7081712062256809,0.6926070038910506,0.7276264591439688,0,0,1
any_eligibility,TRUE,sex,Male,7,0.029535864978903037,0.021097046413502185,0.03797468354430389,0,0,0
any_eligibility,TRUE,sex,Male,14,0.05485232067510559,0.04641350210970474,0.06751054852320681,0,0,0
any_eligibility,TRUE,sex,Male,21,0.08016877637130815,0.0717299578059073,0.09282700421940937,0,0,0
any_eligibility,TRUE,sex,Male,28,0.10126582278481022,0.09282700421940937,0.11814345991561193,0,0,0
any_eligibility,TRUE,sex,Male,35,0.13502109704641363,0.1223628691983123,0.14767932489451485,0,0,0
any_eligibility,TRUE,sex,Male,42,0.1561181434599157,0.14345991561181437,0.1729957805907174,0,0,0
any_eligibility,TRUE,sex,Male,49,0.17721518987341778,0.16455696202531656,0.19409282700421948,0,0,0
any_eligibility,TRUE,sex,Male,56,0.2067510548523207,0.1898734177215191,0.2236286919831224,0,1,0
any_eligibility,TRUE,sex,Male,63,0.23628691983122374,0.21940928270042204,0.25316455696202533,0,0,0
any_eligibility,TRUE,sex,Male,70,0.27004219409282704,0.25316455696202533,0.2911392405063292,0,0,0
any_eligibility,TRUE,sex,Male,77,0.29957805907172996,0.28270042194092837,0.32067510548523215,0,0,0
any_eligibility,TRUE,sex,Male,84,0.329113924050633,0.3122362869198313,0.3502109704641351,0,0,0
any_eligibility,TRUE,sex,Male,91,0.3628691983122363,0.3459915611814347,0.3839662447257385,0,0,0
any_eligibility,TRUE,sex,Male,98,0.39240506329113933,0.37130801687763715,0.4135021097046414,0,0,0
