group1,group2,label1,label2,reference_row,n_obs,n_event,exposure,irr,irr.low,irr.high,irr.ln.std.error
all,all,All,NA,TRUE,4930,3600,570520,1,NA,NA,NA
all,ageband4,All,12-49,TRUE,517,380,61644.99999999999,1,NA,NA,NA
all,ageband4,All,50-64,FALSE,822,608,93362,1.0565351966406107,0.9293969734089088,1.201065479744453,0.06541660548111704
all,ageband4,All,65-74,FALSE,2181,1607,251383,1.037162033358894,0.9273527725633098,1.159973976750814,0.057097682834425116
all,ageband4,All,75-104,FALSE,1409,1003,164132,0.99141503834046385,0.880973365318429,1.1157020370216886,0.06025919968153459
all,ageband13,All,12-17,TRUE,1,1,98.00000000000004,1,NA,NA,NA
all,ageband13,All,18-29,FALSE,27,20,3493,0.5614969517394185,0.07533647001798549,4.184942919908387,1.0248361776452704
all,ageband13,All,30-39,FALSE,135,99,16270.999999999998,0.5965823605178114,0.08319705995186057,4.277921756933966,1.0051232116587114
all,ageband13,All,40-49,FALSE,354,260,41783,0.6101587447047098,0.08560904036353953,4.348766113469778,1.002022632420194
all,ageband13,All,50-54,FALSE,245,178,28121,0.6207060891220684,0.08693403003009666,4.431820875436583,1.0029307392703661
all,ageband13,All,55-59,FALSE,274,215,30560,0.6898972969270313,0.09671561136263007,4.92121461676589,1.0024510278570895
all,ageband13,All,60-64,FALSE,303,215,34681,0.6079092988947319,0.08522298667246204,4.336315002699824,1.002444184084115
all,ageband13,All,65-69,FALSE,1231,917,139615,0.6440858492528235,0.09060728913636232,4.578512227458813,1.0006803059276153
all,ageband13,All,70-74,FALSE,950,690,111768,0.6054017031419463,0.08513455416662534,4.30508182905185,1.0008649292691207
all,ageband13,All,75-79,FALSE,647,468,74514,0.6158916313972312,0.08655397515900445,4.3824965973926275,1.001193302971299
all,ageband13,All,80-84,FALSE,392,270,44689,0.5924723136410733,0.08313387565244011,4.222387560742855,1.0019836544620067
all,ageband13,All,85-89,FALSE,207,151,24788,0.5973134913741471,0.0835799826525389,4.268766224333922,1.0034051915226305
all,ageband13,All,90-104,FALSE,163,114,20140.999999999996,0.5550282852817613,0.07749716986616408,3.975066418487525,1.0044968553566997
all,sex,All,Female,TRUE,2569,1882,298365,1,NA,NA,NA
all,sex,All,Male,FALSE,2360,1716,272157,0.9982847841384147,0.9350258763693015,1.0658234551881762,0.03340081083273959
all,ethnicity5,All,White,TRUE,2688,1962,313444,1,NA,NA,NA
all,ethnicity5,All,Mixed,FALSE,441,330,50848,1.0355371603561945,0.9215375054637487,1.1636392486694664,0.05950726175095905
all,ethnicity5,All,Asian or Asian British,FALSE,424,294,49559,0.9475410979074622,0.8381909054747991,1.0711570912536856,0.06256463216524716
all,ethnicity5,All,Black or Black British,FALSE,445,330,50934,1.0401377044302726,0.9255244075657353,1.1689442605009166,0.05956634327421341
