group1,group2,label1,label2,reference_row,n_obs,n_event,exposure,irr,irr.low,irr.high,irr.ln.std.error
all,all,All,NA,TRUE,4930,1500,759790,1,NA,NA,NA
all,ageband4,All,12-49,TRUE,518,156,80560.99999999999,1,NA,NA,NA
all,ageband4,All,50-64,FALSE,822,262,124545.99999999999,1.0848217961186966,0.8897125862407957,1.3227174118178544,0.10116131575772318
all,ageband4,All,65-74,FALSE,2181,671,334073.99999999994,1.0360892083387185,0.8703992305061696,1.2333200788926286,0.08890802937696345
all,ageband4,All,75-104,FALSE,1411,408,220606.99999999997,0.954489015241179,0.793667602237648,1.1478977819523999,0.09414019826408591
all,ageband13,All,12-17,TRUE,1,0,181.99999999999997,1,NA,NA,NA
all,ageband13,All,18-29,FALSE,27,7,4180.999999999999,24237.570958336546,2.632382121212396e-143,2231666296570368e136,172.65492682967678
all,ageband13,All,30-39,FALSE,135,47,20240.999999999996,33839.98221470911,3.6778250490038137e-143,3113645649354709e136,172.65457309285338
all,ageband13,All,40-49,FALSE,355,102,55956.99999999999,26498.983064930675,2.8801690257425114e-143,24380378276390678e135,172.65454040063418
all,ageband13,All,50-54,FALSE,245,73,37052.99999999999,28617.342683516472,3.1103431465290567e-143,26329966299047123e135,172.65455187510304
all,ageband13,All,55-59,FALSE,274,86,42181.99999999999,29607.055305517173,3.2179498281496223e-143,27240254530879086e135,172.65454593898664
all,ageband13,All,60-64,FALSE,303,103,45310.99999999999,32997.37848995791,3.586477695078037e-143,3035922929909164e136,172.65454048520368
all,ageband13,All,65-69,FALSE,1231,384,187792.99999999997,29705.648478883002,3.2288317441117775e-143,2732956132385011e136,172.65451971356646
all,ageband13,All,70-74,FALSE,950,287,146280.99999999997,28494.71261908035,3.097194161785146e-143,26215619842703745e135,172.65452232885661
all,ageband13,All,75-79,FALSE,649,170,102601.99999999999,24080.928585351834,2.6174091530596844e-143,22155157547873074e135,172.65452909999087
all,ageband13,All,80-84,FALSE,392,113,61500.99999999999,26677.20614363676,2.899554043130822e-143,24544233942321586e135,172.65453793933622
all,ageband13,All,85-89,FALSE,207,68,31127.999999999996,31817.17678017141,3.458108990069836e-143,29274170975166155e135,172.65455418346198
all,ageband13,All,90-104,FALSE,163,57,25375.999999999996,32636.00404369598,3.547043836661374e-143,3002806869572496e136,172.6545629457051
all,sex,All,Female,TRUE,2571,772,397483.99999999994,1,NA,NA,NA
all,sex,All,Male,FALSE,2361,725,362303.99999999994,1.029776336289586,0.9304840434909971,1.139664145989477,0.05173155302418508
all,ethnicity5,All,White,TRUE,2691,819,414170.99999999994,1,NA,NA,NA
all,ethnicity5,All,Mixed,FALSE,441,143,66835.99999999999,1.084807909809381,0.9082284787876574,1.295718234640531,0.09064566210552044
all,ethnicity5,All,Asian or Asian British,FALSE,424,124,66339.99999999999,0.9415737803135015,0.7794756613478759,1.137381483138048,0.09639526367176711
all,ethnicity5,All,Black or Black British,FALSE,445,141,68666.99999999999,1.0330788107853501,0.8638054768461951,1.235523341655893,0.09130328915077052
all,ethnicity5,All,Chinese or Other Ethnic Groups,FALSE,456,132,69839.99999999999,0.9612021328378836,0.7995415597034664,1.1555491130626852,0.09395387425671839
all,ethnicity5,All,(Missing),FALSE,475,138,73933.99999999999,0.9451904978474563,0.7891534991817766,1.1320802329932222,0.09205559014101809
all,region,All,North East and Yorkshire,TRUE,2495,765,381797.99999999994,1,NA,NA,NA
all,region,All,North West,FALSE,989,290,154579.99999999997,0.9353386436434115,0.8170753576321735,1.070719328542687,0.06896928866351495
all,region,All,Midlands,FALSE,504,165,77258.99999999999,1.05989729440991,0.8956254778944654,1.2542991489460724,0.0859224758740641
all,region,All,East of England,FALSE,228,71,35114.99999999999,1.0113246670103453,0.7929560090729629,1.2898289065232067,0.12410868662777767
all,region,All,London,FALSE,238,71,36826.99999999999,0.961912810189542,0.7541958289918018,1.226838201483609,0.12412052473601698
all,region,All,South East,FALSE,241,61,37873.99999999999,0.8043678458220089,0.6197167471753361,1.0440376742138964,0.1330606950089433
all,region,All,South West,FALSE,237,74,36334.99999999999,1.0119196155832737,0.7970411936694491,1.2847282129646969,0.12178695831661375
all,imd_quintile,All,1 (most deprived),TRUE,917,260,143777.99999999997,1,NA,NA,NA
all,imd_quintile,All,2,FALSE,1016,311,155746.99999999997,1.1033548035830982,0.93576746502416,1.3009554917133888,0.08405441602228991
all,imd_quintile,All,3,FALSE,978,316,148589.99999999997,1.1375277973619646,0.9393364158626548,1.3775357453621395,0.0976747041674362
all,imd_quintile,All,4,FALSE,903,274,139295.99999999997,1.018589384446076,0.7844456818614702,1.322621002443683,0.1332660519033734
all,imd_quintile,All,5 (least deprived),FALSE,878,261,135857.99999999997,0.9928019909202753,0.7635053276141525,1.2909612513841902,0.13398773589755522
all,imd_quintile,All,(Missing),FALSE,240,75,36518.99999999999,1.1068340483711185,0.8432260036847742,1.4528508434039895,0.13879030221124095
all,carehome_status,All,FALSE,TRUE,4201,1266,647615.9999999999,1,NA,NA,NA
all,carehome_status,All,TRUE,FALSE,731,231,112171.99999999999,1.0649933229650899,0.924038633979511,1.2274495202387536,0.07243496681246536
all,primis_atrisk,All,FALSE,TRUE,2933,893,452227.99999999994,1,NA,NA,NA
