group1,group2,label1,label2,n,n_at_least_1_event,median_los,p10,p25,p75,p90
all,all,All,All,4932,1525,5,1,3,7,9
all,ageband4,All,50-64,822,263,5,1,3,7,9
all,ageband4,All,65-74,2181,669,5,1,3,7,8.200000000000045
all,ageband4,All,75-104,1411,439,5,1,3,7,9
all,ageband4,All,12-49,518,154,5,1,3,7,9
all,ageband13,All,55-59,274,95,5,1,3,7,9
all,ageband13,All,60-64,303,97,4,1,3,6,8
all,ageband13,All,70-74,950,297,5,1,3,7,9
all,ageband13,All,50-54,245,71,6,1,3,7,9
all,ageband13,All,80-84,392,120,5,1,3,7,8
all,ageband13,All,75-79,649,193,5,1.2000000000000028,3,8,9
all,ageband13,All,65-69,1231,372,5,1,3,7,8
all,ageband13,All,30-39,135,43,5,2,3,8,9
all,ageband13,All,85-89,207,75,5,1,3,7.5,9
all,ageband13,All,90-104,163,51,4,2,3,6,8
all,ageband13,All,40-49,355,101,4,1,3,7,8
all,ageband13,All,18-29,27,9,5,1,2,6,7.399999999999999
all,ageband13,All,12-17,1,1,7,7,7,7,7
all,sex,All,Female,2571,791,5,1,3,7,9
all,sex,All,Male,2361,734,5,1,3,7,9
all,ethnicity5,All,White,2691,816,5,1,3,7,9
all,ethnicity5,All,(Missing),475,153,5,1,3,7,8
all,ethnicity5,All,Mixed,441,150,5,1,3,7,9
all,ethnicity5,All,Chinese or Other Ethnic Groups,456,138,5,1,3.25,7,8.299999999999997
all,ethnicity5,All,Asian or Asian British,424,122,4.5,1,3,7,8
all,ethnicity5,All,Black or Black British,445,146,5,1,3,7,8
all,region,All,North East and Yorkshire,2495,744,5,1,3,7,9
all,region,All,North West,989,314,5,2,3,7,9
all,region,All,South East,241,76,5,1,3,7,8.5
all,region,All,Midlands,504,175,5,1,2,7,8
all,region,All,London,238,79,5,1,3,7,9
all,region,All,East of England,228,70,5,1,2,7,9
all,region,All,South West,237,67,5,1,3,6,8
all,imd_quintile,All,2,1016,336,5,2,3,7,9
all,imd_quintile,All,1 (most deprived),917,264,5,1.3000000000000007,3,7,9
all,imd_quintile,All,3,978,289,5,1,2,7,8
all,imd_quintile,All,4,903,269,5,1,3,7,9
all,imd_quintile,All,5 (least deprived),878,298,5,1,3,7,8
all,imd_quintile,All,(Missing),240,69,6,2,3,8,9
all,carehome_status,All,FALSE,4201,1300,5,1,3,7,9
all,carehome_status,All,TRUE,731,225,5,1,3,7,8
all,primis_atrisk,All,TRUE,1999,635,5,1,3,7,9
all,primis_atrisk,All,FALSE,2933,890,5,1,3,7,9
all,crd,All,TRUE,198,72,5,2,3,7,8
all,crd,All,FALSE,4734,1453,5,1,3,7,9
all,chd,All,FALSE,4738,1457,5,1,3,7,9
all,chd,All,TRUE,194,68,5.5,1,3,7,9
all,ckd,All,FALSE,4724,1457,5,1,3,7,9
all,ckd,All,TRUE,208,68,5,2,3,7,9
all,cld,All,FALSE,4736,1465,5,1,3,7,9
all,cld,All,TRUE,196,60,5,1,3,7,8
all,cns_learndis,All,FALSE,4554,1421,5,1,3,7,9
all,cns_learndis,All,TRUE,378,104,5,1,3,7,8
all,diabetes,All,FALSE,4724,1468,5,1,3,7,9
all,diabetes,All,TRUE,208,57,6,2.6000000000000005,4,8,9
all,immunosuppressed,All,FALSE,4710,1446,5,1,3,7,9
all,immunosuppressed,All,TRUE,222,79,5,1,3,7,9
all,asplenia,All,FALSE,4747,1467,5,1,3,7,9
all,asplenia,All,TRUE,185,58,5,1,3,7.75,9
