group1,group1_value,group2,group2_value,total,count_n0,count_n1,count_n2,count_n3,count_n4,count_n5plus,count_median,count_p10,count_p25,count_p75,count_p90,days_since_n12m,days_since_n24m,days_since_median,days_since_p10,days_since_p25,days_since_p75,days_since_p90,count_pct0,count_pct1,count_pct2,count_pct3,count_pct4,count_pct5plus,days_since_pct12m,days_since_pct24m
all,All,all,NA,4930,340,360,330,340,320,3250,7,1,3,11,13,2910,3510,299,219,249,350,380,6.9,7.3,6.7,6.9,6.5,65.9,59,71.2
all,All,sex,Female,2560,160,200,170,180,160,1690,7,1,3,11,13,1530,1820,296,219,250,347,377,6.2,7.8,6.6,7,6.2,66,59.8,71.1
all,All,sex,Male,2370,180,160,160,160,160,1550,7,1,3,11,13,1380,1690,303,219,249,351,381,7.6,6.8,6.8,6.8,6.8,65.4,58.2,71.3
all,All,ageband4,16-49,490,30,30,40,40,30,320,7,1,3,11,13,290,340,301,218.7,252,349,374.3,6.1,6.1,8.2,8.2,6.1,65.3,59.2,69.4
all,All,ageband4,50-64,790,40,60,50,50,60,520,7,1,3,10,13,450,550,311,225,256,352,381,5.1,7.6,6.3,6.3,7.6,65.8,57,69.6
all,All,ageband4,65-74,2220,160,150,170,140,140,1460,7,1,3,11,13,1310,1600,298,218,247,351,380,7.2,6.8,7.7,6.3,6.3,65.8,59,72.1
all,All,ageband4,75-104,1440,100,120,80,110,90,940,7,1,3,11,13,860,1020,295,218,246.75,345,379.1,6.9,8.3,5.6,7.6,6.2,65.3,59.7,70.8
all,All,ageband13,16-19,0,0,0,0,0,0,0,5,3.4000000000000004,4,7.5,9,0,0,349,349,349,349,349,NA,NA,NA,NA,NA,NA,NA,NA
all,All,ageband13,20-29,20,0,0,0,0,0,20,8,1.2000000000000002,4.5,10.5,11,10,20,323,247.4,279.5,355,378.2,0,0,0,0,0,100,50,100
all,All,ageband13,30-39,150,10,10,10,10,10,100,7,1.5,3,11,13,90,110,301,214,251,351,376.8,6.7,6.7,6.7,6.7,6.7,66.7,60,73.3
all,All,ageband13,40-49,320,20,20,20,20,20,210,7,1,3,10,13,180,220,296,225.8,251,343,372.6,6.2,6.2,6.2,6.2,6.2,65.6,56.2,68.8
all,All,ageband13,50-54,260,10,20,20,10,20,170,6,1,3,10,13,140,180,319,224,256,353.75,383.5,3.8,7.7,7.7,3.8,7.7,65.4,53.8,69.2
all,All,ageband13,55-59,260,20,20,10,20,20,180,7,1,4,10,13,150,180,305.5,229.1,256,349.75,381,7.7,7.7,3.8,7.7,7.7,69.2,57.7,69.2
all,All,ageband13,60-64,270,10,20,20,20,20,180,7,1,3,11,13,160,200,308.5,220,256,354,380,3.7,7.4,7.4,7.4,7.4,66.7,59.3,74.1
all,All,ageband13,65-69,1240,90,70,80,90,90,820,7,1,3,11,13,740,900,296,218,247,350,378,7.3,5.6,6.5,7.3,7.3,66.1,59.7,72.6
all,All,ageband13,70-74,980,70,80,80,60,50,640,7,1,3,11,13,570,700,300,219,248,353,382,7.1,8.2,8.2,6.1,5.1,65.3,58.2,71.4
all,All,ageband13,75-79,670,50,60,30,60,40,430,7,1,3,11,13,410,480,289,215.3,239,343.25,380.7,7.5,9,4.5,9,6,64.2,61.2,71.6
all,All,ageband13,80-84,390,30,20,20,30,30,270,8,1,3,11,13,250,290,294,228,255,345.75,378,7.7,5.1,5.1,7.7,7.7,69.2,64.1,74.4
all,All,ageband13,85-89,230,20,20,10,20,20,150,7,1,3,11,13,130,150,310.5,217.3,253,345,383.7,8.7,8.7,4.3,8.7,8.7,65.2,56.5,65.2
all,All,ageband13,90-104,150,10,10,10,10,10,100,7,1,3,10.75,13,80,90,307,214.1,254.75,350.25,377.6,6.7,6.7,6.7,6.7,6.7,66.7,53.3,60
all,All,ethnicity5,White,2740,190,200,170,180,170,1820,7,1,3,11,13,1620,1940,298,218,247,349,378,6.9,7.3,6.2,6.6,6.2,66.4,59.1,70.8
all,All,ethnicity5,Mixed,420,40,30,30,40,30,260,7,1,3,11,13,240,300,302,223,259.25,348.5,384.7,9.5,7.1,7.1,9.5,7.1,61.9,57.1,71.4
all,All,ethnicity5,Asian or Asian British,410,30,30,30,20,30,270,7,1,3,11,13,250,290,301,217,241.5,346.5,375,7.3,7.3,7.3,4.9,7.3,65.9,61,70.7
all,All,ethnicity5,Black or Black British,440,20,40,40,20,30,280,6,1,3,11,13,250,320,301,223.4,250,355,384.2,4.5,9.1,9.1,4.5,6.8,63.6,56.8,72.7
all,All,ethnicity5,Chinese or Other Ethnic Groups,450,30,30,30,40,30,290,7,1,3,11,13,280,340,307,221.8,258,350.25,384.1,6.7,6.7,6.7,8.9,6.7,64.4,62.2,75.6
all,All,ethnicity5,(Missing),470,30,30,30,30,30,320,7,1,3,11,13,270,320,299.5,221,252,352,376.9,6.4,6.4,6.4,6.4,6.4,68.1,57.4,68.1
all,All,region,North East and Yorkshire,2520,180,190,180,170,160,1640,7,1,3,11,13,1490,1790,298.5,220,251,349.25,379,7.1,7.5,7.1,6.7,6.3,65.1,59.1,71
all,All,region,North West,1000,60,70,50,70,60,700,7,1,4,11,13,600,730,297,216,246,349,378.3,6,7,5,7,6,70,60,73
all,All,region,Midlands,480,20,30,30,30,30,330,7,1,4,11,13,290,360,303,222.5,254.75,349.25,384,4.2,6.2,6.2,6.2,6.2,68.8,60.4,75
