group1,group1_value,group2,group2_value,time,cmlinc,cmlinc.low,cmlinc.high,early_milestone,primary_milestone,final_milestone
crd,FALSE,all,All,7,0.03164556962025322,0.025316455696202667,0.035864978902953704,0,0,0
crd,FALSE,all,All,14,0.05907172995780596,0.05274261603375541,0.06540084388185663,0,0,0
crd,FALSE,all,All,21,0.0864978902953587,0.07805907172995785,0.09493670886075956,0,0,0
crd,FALSE,all,All,28,0.11392405063291144,0.10548523206751059,0.1223628691983123,0,0,0
crd,FALSE,all,All,35,0.139240506329114,0.13080168776371315,0.14978902953586504,0,0,0
crd,FALSE,all,All,42,0.16455696202531656,0.15400843881856552,0.1751054852320676,0,0,0
crd,FALSE,all,All,49,0.19409282700421948,0.18354430379746844,0.20464135021097052,0,0,0
crd,FALSE,all,All,56,0.2278481012658229,0.21518987341772156,0.23839662447257393,1,0,0
crd,FALSE,all,All,63,0.25527426160337563,0.2426160337552743,0.26793248945147685,0,0,0
crd,FALSE,all,All,70,0.28270042194092837,0.27004219409282704,0.2953586497890296,0,0,0
crd,FALSE,all,All,77,0.3101265822784811,0.2974683544303798,0.32278481012658233,0,0,0
crd,FALSE,all,All,84,0.33544303797468356,0.32278481012658233,0.3502109704641351,0,0,0
crd,FALSE,all,All,91,0.3649789029535866,0.3502109704641351,0.3776371308016878,0,0,0
crd,FALSE,all,All,98,0.39240506329113933,0.3776371308016878,0.40506329113924056,0,0,0
crd,FALSE,all,All,105,0.42194092827004226,0.40717299578059074,0.43670886075949367,0,0,0
crd,FALSE,all,All,112,0.45358649789029537,0.44092827004219415,0.4683544303797469,0,0,0
crd,FALSE,all,All,119,0.4810126582278481,0.4662447257383967,0.49578059071729963,0,0,0
crd,FALSE,all,All,126,0.510548523206751,0.49578059071729963,0.5253164556962026,0,0,0
crd,FALSE,all,All,133,0.5400843881856541,0.5253164556962026,0.5527426160337553,0,0,0
crd,FALSE,all,All,140,0.5675105485232068,0.5527426160337553,0.580168776371308,0,0,0
crd,FALSE,all,All,147,0.5928270042194093,0.5780590717299579,0.6054852320675106,0,0,0
crd,FALSE,all,All,154,0.620253164556962,0.6075949367088608,0.6350210970464135,0,1,0
crd,FALSE,all,All,161,0.6455696202531647,0.630801687763713,0.6582278481012658,0,0,0
crd,FALSE,all,All,168,0.6751054852320675,0.6603375527426161,0.6877637130801688,0,0,0
crd,FALSE,all,All,175,0.7025316455696202,0.6877637130801688,0.7151898734177216,0,0,0
