vax_dosenumber,vax_product8,vax_campaign,sex,ageband4,ethnicity5,region,imd_quintile,n
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,North East and Yorkshire,1 (most deprived),0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,North East and Yorkshire,2,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,North East and Yorkshire,4,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,North East and Yorkshire,5 (least deprived),0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,North East and Yorkshire,NA,30
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,North West,4,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,North West,NA,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,Midlands,1 (most deprived),0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,Midlands,2,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,Midlands,3,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,Midlands,4,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,Midlands,NA,30
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,East of England,2,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,East of England,NA,10
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,London,2,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,London,5 (least deprived),0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,London,NA,10
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,South East,1 (most deprived),0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,South East,2,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,South East,3,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,South East,4,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,South East,5 (least deprived),0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,South East,NA,20
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,South West,1 (most deprived),0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,South West,4,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,South West,5 (least deprived),0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,South West,NA,10
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,NA,1 (most deprived),0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,NA,2,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,NA,3,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,NA,4,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,NA,5 (least deprived),0
Dose 1,Other,Pre-2020-07-01,Female,under 12,White,NA,NA,30
Dose 1,Other,Pre-2020-07-01,Female,under 12,Mixed,North East and Yorkshire,4,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Mixed,North East and Yorkshire,5 (least deprived),0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Mixed,North East and Yorkshire,NA,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Mixed,North West,2,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Mixed,North West,NA,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Mixed,Midlands,1 (most deprived),0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Mixed,Midlands,2,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Mixed,Midlands,4,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Mixed,Midlands,NA,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Mixed,East of England,4,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Mixed,East of England,NA,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Mixed,London,NA,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Mixed,South East,3,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Mixed,South East,NA,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Mixed,South West,NA,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Mixed,NA,NA,10
Dose 1,Other,Pre-2020-07-01,Female,under 12,Asian or Asian British,North East and Yorkshire,NA,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Asian or Asian British,North West,3,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Asian or Asian British,North West,NA,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Asian or Asian British,Midlands,2,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Asian or Asian British,Midlands,NA,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Asian or Asian British,East of England,NA,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Asian or Asian British,London,5 (least deprived),0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Asian or Asian British,London,NA,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Asian or Asian British,South East,5 (least deprived),0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Asian or Asian British,South East,NA,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Asian or Asian British,NA,2,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Asian or Asian British,NA,NA,10
Dose 1,Other,Pre-2020-07-01,Female,under 12,Black or Black British,North East and Yorkshire,1 (most deprived),0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Black or Black British,North East and Yorkshire,NA,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Black or Black British,Midlands,4,0
Dose 1,Other,Pre-2020-07-01,Female,under 12,Black or Black British,Midlands,NA,10
